dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
199,224308,BSU31060,,NE,12682299,
199,224308,BSU31050,,NE,12682299,
199,224308,BSU31040,,NE,12682299,
199,224308,BSU31030,,NE,12682299,
199,224308,BSU31010,,NE,12682299,
199,224308,BSU31000,,NE,12682299,
199,224308,BSU30990,,NE,12682299,
199,224308,BSU30980,,NE,12682299,
199,224308,BSU30970,,NE,12682299,
199,224308,BSU30960,,NE,12682299,
199,224308,BSU30950,,NE,12682299,
199,224308,BSU30940,,NE,12682299,
199,224308,BSU30930,,NE,12682299,
199,224308,BSU30920,,NE,12682299,
199,224308,BSU30900,,NE,12682299,
199,224308,BSU30890,,NE,12682299,
199,224308,BSU30880,,NE,12682299,
199,224308,BSU30870,,NE,12682299,
199,224308,BSU30860,,NE,12682299,
199,224308,BSU30840,,NE,12682299,
199,224308,BSU30830,,NE,12682299,
199,224308,BSU30810,,NE,12682299,
199,224308,BSU30760,,NE,12682299,
199,224308,BSU30750,,NE,12682299,
199,224308,BSU30740,,NE,12682299,
199,224308,BSU30720,,NE,12682299,
199,224308,BSU30710,,NE,12682299,
199,224308,BSU30700,,NE,12682299,
199,224308,BSU30690,,NE,12682299,
199,224308,BSU30670,,NE,12682299,
199,224308,BSU30659,,NE,12682299,
199,224308,BSU30650,,NE,12682299,
199,224308,BSU30640,,NE,12682299,
199,224308,BSU30630,,NE,12682299,
199,224308,BSU30620,,NE,12682299,
199,224308,BSU30610,,NE,12682299,
199,224308,BSU30540,,NE,12682299,
199,224308,BSU30530,,NE,12682299,
199,224308,BSU30520,,NE,12682299,
199,224308,BSU30510,,NE,12682299,
199,224308,BSU30480,,NE,12682299,
199,224308,BSU30460,,NE,12682299,
199,224308,BSU30450,,NE,12682299,
199,224308,BSU30440,,NE,12682299,
199,224308,BSU30430,,NE,12682299,
199,224308,BSU30420,,NE,12682299,
199,224308,BSU30390,,NE,12682299,
